lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
message,message|messages,NOUN,19,12,8,8|11|12|14|15|16|20,14,14,core
metre,metre|metres,NOUN,4,4,2,2|8|9|11,,,unclassified
metro,metro,NOUN|PROPN,7,4,8,8|12|20,8,,core
mia,mia,PROPN,26,6,2,2|3|5|14|18|20,,,unclassified
microphone,microphone,NOUN,3,3,14,14|19,14,14,core
middle,middle,NOUN,1,1,14,14,,,unclassified
midnight,midnight,NOUN,5,3,16,16|20,16,16,core
mila,mila,PROPN,14,3,11,11|16,,,unclassified
milk,milk,NOUN,9,5,4,4|6|17|18|20,,4,target_extra
mina,mina,PROPN,17,4,1,1|15|19|20,,,unclassified
mine,mine,ADJ|NOUN,3,3,2,2|12|16,,2,target_extra
minute,minute|minutes,NOUN,34,26,1,1|2|5|6|8|9|11|12|13|14|15|18|19,,6,target_extra
mirror,mirror,NOUN,3,3,3,3|12,,3,target_extra
miss,miss|missed|misses|missing,VERB,7,5,6,6|13|16|18,18,6|18,core
mistake,mistake,NOUN,9,6,7,7|10|12|14|15,,10|15,target_extra
misty,misty,PROPN,6,2,17,17,,,unclassified
mix,mixing,VERB,1,1,13,13,,,unclassified
moment,moment,NOUN,3,3,11,11|16|18,,,unclassified
monday,monday,PROPN,9,8,4,4|5|6|11|15|17|20,,,unclassified
money,money,NOUN,6,5,10,10|19|20,10,,core
month,month|months,NOUN,4,3,17,17|19,,,unclassified
more,more,ADJ|ADV,16,16,2,2|4|6|7|10|14|15|16|17|18|19,,10,target_extra
morning,morning|mornings,NOUN,26,22,1,1|3|4|5|6|7|9|11|12|15|17|18|20,6,,core
most,most,ADJ|ADV,3,3,10,10|12,,,unclassified
mother,mother,NOUN|PROPN,8,5,2,2|5|18,2,,core
mountain,mountain|mountains,NOUN,3,2,12,12|19,,12,target_extra
mouth,mouth,NOUN,2,2,11,11,11,,core
move,move|moved|moves|moving,NOUN|VERB,23,19,1,1|3|7|9|11|12|13|14|17|18|19|20,19,,core
mr,mr,PROPN,12,5,1,1|5|16|17,,,unclassified
mrs,mrs,PROPN,5,3,3,3|9|16,,,unclassified
ms,ms,PROPN,1,1,1,1,,,unclassified
much,much,ADJ|ADV,7,6,3,3|4|5|7|11|19,,,unclassified
mum,mum,PROPN,2,1,12,12,,,unclassified
museum,museum,NOUN|PROPN,6,2,8,8|12,,,unclassified
music,music,NOUN,17,11,3,3|6|13|14|16|19|20,13,13,core
musician,musician,NOUN,1,1,13,13,,,unclassified
must,must,AUX,6,5,6,6|8|15|16|17,,,unclassified
my,my,PRON,28,23,1,1|2|5|7|8|9|11|12|13|14|15|16|20,,,unclassified
myself,myself,PRON,1,1,19,19,,,unclassified
mystery,mystery,NOUN,2,1,16,16,,,unclassified
