lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
return,return|returned|returns,NOUN|VERB,15,13,4,4|5|7|8|9|10|12|14|18|20,,5|7|8|10|18,target_extra
rice,rice,NOUN,4,3,4,4|16,4,,core
ride,ride,NOUN,1,1,3,3,,,unclassified
right,right,ADJ|NOUN,14,11,1,1|2|3|7|8|12|14|18,,1|3,target_extra
ring,ring|rings|rung,NOUN|VERB,6,4,4,4|6|18|20,,18,target_extra
rise,rises,VERB,1,1,9,9,,,unclassified
river,river,NOUN|PROPN,11,6,8,8|9|18,9,9,core
road,road,NOUN|PROPN,12,7,8,8|9|12|18|20,8,18,core
roll,rolls,NOUN,1,1,5,5,,,unclassified
rome,rome,PROPN,1,1,12,12,,,unclassified
roof,roof,NOUN,1,1,9,9,,,unclassified
room,room|rooms,NOUN|PROPN,39,23,1,1|2|3|5|6|7|11|12|13|16|17|20,1|3,1|3|7|12,core
roommate,roommate,NOUN,1,1,15,15,,,unclassified
rosa,rosa,PROPN,37,11,2,2|4|5|10|11|14|15|18|19|20,,,unclassified
route,route,NOUN|PROPN,12,5,6,6|8|12,8,6|8|12,core
router,router,NOUN,1,1,14,14,,,unclassified
row,row,PROPN,1,1,13,13,,,unclassified
rubbish,rubbish,ADJ,1,1,9,9,,,unclassified
ruin,ruin,VERB,1,1,9,9,,,unclassified
ruler,ruler,NOUN,4,3,5,5|20,5,5,core
run,run|running|runs,NOUN|VERB,10,6,9,9|11|17|20,,,unclassified
runner,runners,NOUN,1,1,11,11,,,unclassified
running,running,NOUN,1,1,11,11,,,unclassified
