lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
surprise,surprise,NOUN,2,2,2,2|16,,2|16,target_extra
surprised,surprised,ADJ,5,5,2,2|13|15|16,15,,core
sweater,sweater,NOUN,7,3,7,7|18,7,7,core
swim,swim,VERB,3,3,13,13|16,13,,core
swimming,swimming,NOUN,2,1,12,12,,,unclassified
symptom,symptom|symptoms,NOUN,2,2,11,11,,11,target_extra
t,t,NOUN,2,2,7,7,7,,core
table,table|tables,NOUN,39,21,1,1|2|3|4|5|9|10|13|16|18|19|20,3,16,core
tablet,tablet,NOUN|PROPN,4,2,11,11,11,11,core
tag,tag,NOUN,5,3,1,1|12|20,12,12,core
tail,tail,NOUN,4,3,17,17|20,17,17,core
take,take|takes|taking|took,VERB,48,35,2,2|3|4|5|6|7|8|9|10|11|12|15|17|18|19|20,,,unclassified
talk,talk|talked|talking|talks,VERB,12,12,1,1|4|5|6|14|15|18|19|20,,,unclassified
tall,tall,ADJ,7,3,2,2|16,2,2,core
taxi,taxi,NOUN,6,4,8,8|11|18,8,,core
tea,tea,NOUN,11,9,3,3|4|6|11|18|20,4,,core
teach,teach|teaches,VERB,6,3,13,13|19,,13,target_extra
teacher,teacher|teachers,NOUN,17,9,1,1|5|11|15|17|19|20,1|5,1,core
team,team,NOUN,7,4,5,5|13|20,13,13,core
teammate,teammate,NOUN,1,1,13,13,,,unclassified
technician,technician,NOUN,1,1,18,18,,,unclassified
technology,technology,NOUN|PROPN,2,2,14,14|19,,,unclassified
television,television,NOUN,1,1,3,3,,,unclassified
tell,tell|tells|told,VERB,17,15,2,2|3|9|11|13|14|15|16|18|19|20,,,unclassified
temperature,temperature,NOUN,10,7,7,7|9|11|20,11,7|9|11,core
temple,temples,NOUN,1,1,19,19,,,unclassified
ten,ten,NUM,38,29,1,1|2|4|5|6|7|8|9|10|11|12|13|14|15|16|19|20,19,19,core
tennis,tennis,NOUN,1,1,9,9,,,unclassified
than,than,ADP,7,7,10,10|11|12|13|17|19,,,unclassified
thank,thank|thanks,NOUN|VERB,8,8,1,1|4|5|10|14|15|20,,,unclassified
that,that,DET|PRON|SCONJ,45,40,1,1|2|3|4|5|6|7|8|9|10|11|13|14|15|16|17|18|19|20,,,unclassified
the,the,DET,1118,100,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
their,their,PRON,47,30,1,1|2|3|5|6|8|9|10|11|12|13|14|16|17|18|19|20,,,unclassified
themselves,themselves,PRON,1,1,17,17,,,unclassified
then,then,ADV,40,33,1,1|2|4|6|7|8|9|10|11|12|13|14|15|16|17|18|20,,,unclassified
there,there,ADV|PRON,54,35,1,1|2|3|4|5|6|7|8|9|10|12|13|14|15|16|17|18|19|20,,,unclassified
these,these,DET,4,4,2,2|5|11|16,,,unclassified
they,them|they,PRON,173,63,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
thick,thick,ADJ,1,1,7,7,,,unclassified
