lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
cost,cost|costs,NOUN|VERB,21,13,4,4|7|10|12|13|15|18|19,10,4|12,core
cotton,cotton,NOUN,4,4,7,7|20,7,,core
cough,cough,NOUN,3,2,11,11,11,11,core
could,could,AUX,3,3,18,18|20,,,unclassified
count,count|counts,VERB,4,4,8,8|10|16,,10|16,target_extra
counter,counter,NOUN,1,1,18,18,,,unclassified
country,countries|country,NOUN,5,5,1,1|13|14|16,1,1,core
course,course,ADV|NOUN,6,5,1,1|5|19,5,1|5,core
cousin,cousin,NOUN,6,3,2,2|3,2,2,core
cover,cover|covered|covers,VERB,4,4,9,9|16|20,,,unclassified
crane,crane,NOUN,2,1,12,12,,,unclassified
cream,cream,NOUN,1,1,18,18,,,unclassified
create,create|creates,VERB,4,3,19,19|20,19,19,core
cross,cross|crosses,NOUN|VERB,5,4,8,8|12,8,,core
culture,culture,NOUN,2,1,19,19,,19,target_extra
cup,cup|cups,NOUN,20,7,3,3|4|13|15|20,3,3,core
cupboard,cupboard,NOUN,5,4,3,3|4|14|15,,,unclassified
curtain,curtains,NOUN,1,1,12,12,,,unclassified
customer,customer|customers,NOUN,10,3,5,5|7|19,,5|19,target_extra
cut,cut|cuts,VERB,3,3,4,4|16,,,unclassified
dad,dad,PROPN,12,7,2,2|12|16|18,,,unclassified
daily,daily,ADJ,2,2,17,17|19,,,unclassified
dan,dan,PROPN,2,1,4,4,,,unclassified
dance,dance,NOUN|VERB,5,3,13,13|16,13,13,core
daniel,daniel,PROPN,23,4,1,1|8|12|20,,,unclassified
dark,dark,ADJ,11,10,2,2|5|7|9|16|17|18|20,,18,target_extra
date,date,NOUN,3,3,2,2|5|16,,2|16,target_extra
daughter,daughter,NOUN,6,6,2,2|6|12|18,2,2,core
david,david,PROPN,5,1,7,7,,,unclassified
day,day|days,NOUN,42,30,1,1|3|5|6|7|8|9|11|12|13|15|17|18,,5,target_extra
dead,dead,ADJ,2,1,8,8,,,unclassified
decide,decide|decides,VERB,5,5,9,9|11|13|14|19,,11,target_extra
decorate,decorate,VERB,4,3,16,16|20,16,16,core
deep,deep,ADV,1,1,9,9,,9,target_extra
degree,degrees,NOUN,8,5,7,7|9|11,,,unclassified
delete,delete|deleted|deletes,VERB,4,3,14,14|20,,14,target_extra
depart,depart|departs,NOUN|VERB,4,3,12,12|19,12,12,core
departure,departure,NOUN,1,1,19,19,,,unclassified
depend,depend,VERB,1,1,14,14,,,unclassified
describe,describe|described|describes,VERB,3,3,10,10|17|18,,17,target_extra
design,design,NOUN,2,1,19,19,,19,target_extra
desk,desk,NOUN,6,6,3,3|5|10|12|19,,,unclassified
detail,detail,NOUN,1,1,12,12,,,unclassified
device,device,NOUN,1,1,14,14,,14,target_extra
dictionary,dictionary,NOUN,3,2,5,5,,5,target_extra
different,different,ADJ,16,12,2,2|4|5|6|7|9|13|16|17|19|20,,7,target_extra
difficult,difficult,ADJ,2,2,13,13|20,,,unclassified
digit,digit|digits,NOUN,5,3,1,1|14,,,unclassified
dinner,dinner,NOUN,17,11,2,2|4|6|7|11|12|16|20,4,,core
direct,direct,ADJ,2,2,8,8|12,,8,target_extra
direction,direction|directions,NOUN,5,4,8,8|12|19|20,,8,target_extra
disappear,disappears,VERB,1,1,17,17,,,unclassified
disappointed,disappointed,ADJ,3,3,15,15|16,,,unclassified
discount,discount,NOUN,1,1,7,7,,,unclassified
discover,discovered,VERB,2,2,18,18,18,,core
dish,dishes,NOUN,2,1,6,6,,,unclassified
distance,distance,NOUN,3,3,8,8|12|19,,8|12,target_extra
dizzy,dizzy,ADJ,3,3,11,11|20,11,11,core
do,did|do|does,AUX,112,64,1,1|2|3|4|5|6|7|8|9|10|11|13|14|15|16|17|18|19|20,,,unclassified
doctor,doctor,NOUN,9,6,5,5|6|11|19,5,,core
dog,dog,NOUN,15,7,2,2|6|9|17|20,17,17,core
dollar,dollar|dollars,NOUN,76,20,4,4|5|7|8|10|12|13|15|18|19,,,unclassified
door,door|doors,NOUN,24,16,1,1|2|3|5|7|8|11|13|16|18|19|20,,3,target_extra
dose,dose,NOUN,2,1,11,11,,11,target_extra
down,down,ADP|ADV,9,9,1,1|3|8|9|11|12|15|18,,11,target_extra
download,download|downloaded|downloads,VERB,3,2,14,14|20,,14,target_extra
downstair,downstairs,NOUN,2,2,1,1|3,,,unclassified
downstairs,downstairs,ADJ|ADV,2,2,1,1|12,,1|3,target_extra
dozen,dozen,NOUN,3,3,10,10|20,10,10,core
dr,dr,PROPN,2,1,11,11,,,unclassified
draw,draw|drawing|draws,VERB,12,5,13,13|14|19|20,13,13,core
drawer,drawer,NOUN,2,2,3,3|16,,,unclassified
drawing,drawings,NOUN,1,1,19,19,,,unclassified
dream,dream,NOUN,5,3,19,19,19,19,core
dress,dress|dressed|dresses,NOUN|VERB,13,4,6,6|7,6|7,7,core
drink,drank|drink|drinks,NOUN|VERB,10,9,4,4|6|9|11|16|18|20,,,unclassified
drive,drives,VERB,1,1,6,6,,,unclassified
driver,driver|drivers,NOUN,6,5,5,5|6|8|18,5,,core
drop,drop|dropped|drops,NOUN|VERB,6,6,9,9|15|18,18,18,core
dry,dry,ADJ,3,3,9,9|20,9,9,core
during,during,ADP,4,4,6,6|13|17|20,,,unclassified
